batch,car,nodes,length_m,travel_time,rho_mean,speed_kph,start_x,start_y,goal_x,goal_y
27,2,4,358.2,51.43,1.208,25.1,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
27,3,4,358.2,64.88,1.208,19.9,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
27,4,21,980.7,95.14,0.888,37.1,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
27,5,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
27,6,21,980.7,114.33,0.888,30.9,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
27,7,21,980.7,149.28,0.888,23.6,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
27,8,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
28,0,21,980.7,128.49,1.028,27.5,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
28,1,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
28,2,4,358.2,45.94,1.502,28.1,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
28,3,4,358.2,58.01,1.502,22.2,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
28,4,5,410.5,80.81,1.271,18.3,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
28,5,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
28,6,5,410.5,99.85,1.271,14.8,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
28,7,21,980.7,171.54,1.028,20.6,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
29,0,8,717.7,71.91,0.739,35.9,490017.1493407046,5512613.3871029215,489862.83108759683,5512714.270364838
29,1,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
29,2,5,410.5,65.68,0.959,22.5,488617.2865644318,5513636.691549854,488905.5053744782,5513537.697186124
29,3,21,980.7,152.61,1.137,23.1,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
29,4,43,1121.3,201.63,0.652,20.0,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
29,5,2,60.1,3.81,0.36,56.8,489639.2652545412,5511962.5925181685,489611.11977763043,5512015.712892384
29,6,2,0.0,0.0,0.0,0.0,488905.5053744782,5513537.697186124,488905.5053744782,5513537.697186124
29,7,2,0.0,0.0,0.0,0.0,489357.8995958957,5511864.233087387,489357.8995958957,5511864.233087387
30,0,21,980.7,151.89,1.434,23.2,489335.1256048606,5513360.688739832,489862.83108759683,5512714.270364838
30,1,4,358.2,42.44,1.046,30.4,488669.5413519151,5513638.393961628,488905.5053744782,5513537.697186124
30,2,14,696.9,146.87,1.697,17.1,489543.1665336083,5513169.685356457,489862.83108759683,5512714.270364838
30,3,36,837.5,192.83,1.017,15.6,489543.1665336083,5513169.685356457,489862.83108759683,5512714.270364838
